cell,dataset,mode,downsample,arch,lr,seed,algo,grid_size,n_params,acc_last,acc_mean5,acc_mean10,acc_best,f1_macro,fpr,mcc,uplink_total_MB,rounds,osc10
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.001,29,fedavg,5,6560,0.8106654846107888,0.8099485420240138,0.8068475726097096,0.8409042727465453,0.8039849273375029,0.37258083207787696,0.6670948674782143,14.44,50,0.010175959296162773
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.0003,23,fedavg,5,1346,0.8916298880259025,0.8914140343438625,0.8912251623720776,0.9403896929866826,0.8912098753302902,0.16869471163132077,0.7888976735597677,2.692,50,0.0007709060072851326
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.0003,17,fedavg,5,3280,0.971977566635188,0.9719737121051516,0.9718985487694412,0.9719968392853702,0.971963189007797,0.003206242515548352,0.945126158423571,7.688,50,0.00028908975273189697
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.03,29,fedavg,5,3280,0.8534700406652919,0.8450401834756297,0.845678108196658,0.8862720912752713,0.8501844420592934,0.29308146946343727,0.7389604924375195,7.688,50,0.05650741033399509
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.001,43,fedavg,5,1346,0.968180854549309,0.9673135852911134,0.9667681692909593,0.968180854549309,0.9681732508682005,0.014215629466527546,0.9369491271902569,2.692,50,0.0027559889760440104
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.001,2026,fedavg,5,1346,0.49866055081234223,0.49866055081234223,0.49866055081234223,0.49891109526470984,0.33273749051581125,0.0005021825626762011,-0.01586509289733402,2.692,50,0.0
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.1,42,fedavg,5,6560,0.9164723341106635,0.9370362518549925,0.9494574748973733,0.9732881068475726,0.9159389890264842,0.1613551203306679,0.8430771985122099,14.44,50,0.12004933798446626
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.003,31,fedavg,5,3280,0.969086669107869,0.9683196176306204,0.9670707498988185,0.969086669107869,0.9690754339527106,0.009695986402441403,0.9390261347132377,7.688,50,0.011274500356543982
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.1,29,fedavg,5,6560,0.6023666814423652,0.8134561643571608,0.806741573033708,0.9604910671266406,0.5473943994829029,0.7455865878626338,0.2825776361853421,14.44,50,0.3581243856842754
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.03,2024,fedavg,5,6560,0.9733651974483011,0.9714148052498699,0.9402432208452984,0.9733651974483011,0.9733532866798499,0.0033221307992428173,0.9477667391741929,14.44,50,0.14387033360957457
